comment_id,polarized
c989o0c,False
clgonpm,False
coupvew,False
d25ilrp,False
d3y9opd,False
d4qdiic,False
d61agm7,False
d9zy9ey,False
ddgnadt,False
dduqapu,False
din5tbw,False
dpd1zl1,False
drmohkk,False
dzgbihh,False
ek3o098,True
flelbki,True
fo088vb,False
fzhcg33,False
gbsv8c2,False
gc50k0j,False
geu80hs,False
gfev11c,False
ggvdwij,False
gidgf32,True
gifi5j6,False
giu64b7,False
gj03ynq,False
gj6vytb,False
gj6xa40,False
gldslor,False
gldywcy,False
glejoyi,False
glghjfc,False
glghpxp,False
glgjrnd,False
glgsg7g,False
glhbaho,False
glht7nw,False
glhz46r,False
gli6o3c,False
gli6zax,False
gliiw28,False
gljbwnb,False
gljwek6,False
glkt3lv,False
gll7coy,True
gq6gv82,False
gqvwf9c,False
gqwqc61,False
gqxdvgp,False
gqxqwv6,True
gqy68f8,True
gqycau5,True
gqzdhx9,False
gqzegu7,False
gqzfmaq,False
gr02c2o,False
gr07tg1,True
gr0swdo,True
gr0v5wm,True
gr11zke,True
gr17fn8,False
gr1bxoj,True
gr1wwa5,False
gr22pqf,False
gr230h8,False
gr2dgnw,False
gr2r9co,True
gr2t2we,False
gr2xzxg,False
gr2zfu8,False
gr31b97,False
gr3nd2l,True
gr3w7jr,False
gr472sw,True
gr5jqir,False
gr5n64p,False
gr61306,True
gr6kf4f,False
gr76rv2,False
gr7b65b,False
gr7bky9,False
gr7jyow,True
gr8de63,False
gr8kpon,False
gr95fj8,False
grhcri8,True
grko7wl,True
grnvcpi,True
gs118l5,False
gskfld4,False
gsksg7d,False
gskvk7m,False
gskwwa3,False
gsl4j53,False
gslfdfj,False
gslotkp,True
gslvyhi,False
gsmsbua,False
gsn37b9,False
gsn7cds,False
gsnr06n,False
gsokzvz,True
gsp3jez,False
gsq2qp3,False
gsru7pa,False
gssmq3l,False
gssn32j,True
gstlamu,False
gstty33,False
gsubcs3,False
gsvabzt,False
gsvrvn9,False
gsvtrap,False
gswqpsy,False
gswuvc3,False
gswvm4p,False
gswxeyx,False
gswyx7k,False
gsx2t7g,False
gsy4d15,False
gsyqh49,False
gt19duj,False
gtpsad9,False
guk7dva,False
gup09ws,False
gv9wloz,False
gz4zhv9,False
gz6ozmd,False
gz8h9xp,True
gz8iist,True
gza8f3k,False
gzaa2o9,False
gzaannb,True
gzaao90,False
gzabr48,False
gzabsm2,False
gzag7cg,True
gzany7n,False
gzardoe,True
gzbnpi4,True
gzc8d9n,False
gzd1mho,True
gzdnnz1,False
gze0z48,True
gze5ejh,True
gze7ieb,False
gzed2fu,False
gzesdw1,False
gzf0xjp,True
gzgftfz,False
gzht3qj,False
gzia7ls,False
gzj0glp,False
gzj10k1,False
gzjvlu7,True
gzk7z6p,False
gzl8ab9,False
gzlkivq,True
gzlyjic,False
gzn5vnr,False
gzn6j14,False
gznmfb9,False
gzox6iq,False
gzphmk2,False
gzq6wp6,True
gzr6g82,False
gzr6qwx,False
gzry1wn,False
gzs0ugj,False
gzsq1py,False
gzu8jww,False
gzutrzc,False
gzvmoua,False
gzvre1l,False
gzwnnov,False
gzxdxfx,True
gzz2zls,False
gzz54f3,True
h0073is,True
h00p9n2,False
h00vct7,False
h02e7sb,False
h02l0cg,False
h02rviy,False
h02vudj,False
h03129t,False
h0315yk,True
h03mvom,False
h044u0e,False
h04jy3z,True
h04yp1o,False
h06cyu6,False
h0hbbyd,False
h0szwlm,False
h3tuq35,False
h3tuymk,False
h3tvaac,False
h3tvoge,True
h3twqro,True
h3txo4h,True
h3txp4i,False
h3u0fd6,True
h3u0jd4,True
h3u0uql,True
h3u0yhc,True
h3u16l8,False
h3u1rd7,True
h3u22iw,True
h3u25h9,False
h3u2a98,True
h3u2wak,True
h3u3cgy,True
h3u3uei,True
h3u4ut4,True
h3u5ozv,True
h3u6ar4,True
h3u6jy9,False
h3u6mfs,False
h3u6v3i,True
h3u72an,True
h3u7t9y,True
h3u86w8,False
h3u8fo1,False
h3u93sw,True
h3u9bsy,False
h3u9clu,True
h3u9nr5,False
h3u9tnb,False
h3u9yib,True
h3ua027,True
h3ua6kd,True
h3ua8dy,True
h3ub398,True
h3ube9v,True
h3ucbw4,True
h3ucpp3,True
h3ud5dl,True
h3udltd,True
h3udtmp,True
h3uf1xl,True
h3ufl82,True
h3ugqa7,False
h3uh3e2,True
h3ujm0i,True
h3ukcik,True
h3ukniw,False
h3ulj5x,False
h3ulq93,False
h3ummdp,True
h3umsko,True
h3umywv,True
h3un0xw,True
h3unk08,True
h3uo4a0,True
h3uon6n,True
h3upmbe,False
h3uqpto,True
h3ur44u,False
h3utpeu,False
h3uu4iq,True
h3uujbk,True
h3uuq39,True
h3uvm9y,True
h3uvrxx,True
h3uw3jo,False
h3uwl7c,False
h3uxda4,True
h3uxlre,False
h3uxnqv,True
h3uyeyi,True
h3uzbrs,True
h3uzhts,False
h3uzwnv,False
h3v049y,True
h3v0zag,True
h3v10jv,True
h3v1eir,False
h3v1g3r,False
h3v1mav,True
h3v1oec,True
h3v1oq8,True
h3v1saj,False
h3v1vk9,True
h3v1vmj,False
h3v1vzw,True
h3v2an2,False
h3v2kwj,False
h3v2rab,True
h3v2uwf,False
h3v39px,True
h3v3gwl,False
h3v3l12,True
h3v41bd,False
h3v4vrp,True
h3v5jqz,True
h3v6ee4,False
h3v6j81,True
h3v6mh7,True
h3v8j84,False
h3v8xvx,False
h3v8y2g,False
h3v93j4,True
h3v9f4z,True
h3v9pfk,False
h3vb1eg,False
h3vb278,False
h3vbcnl,True
h3vbng0,False
h3vcchc,True
h3vcz3k,True
h3vd9yf,True
h3vdklz,False
h3vdsji,False
h3vee1c,False
h3vefyz,True
h3vejyk,False
h3vf2oy,True
h3vf7ke,True
h3vgfsq,False
h3vgktf,True
h3vgqbm,True
h3vhflf,True
h40ywde,False
h41004f,True
h42mlf0,False
h42pjb7,True
h44vj1o,False
h45nrqz,False
h46bp3a,False
h47owgs,True
h47r68y,False
h48im9z,False
h48pcbk,False
h493xw6,False
h4a5bqh,False
h4brtgo,False
h4chbjl,False
h4ds5v6,False
h4dz7v6,False
h4esd10,False
h4f1i4l,False
h4f26tv,False
h4f5vsu,False
h4fcl4t,False
h4feomu,False
h4fvvmt,False
h4gqv3v,True
h4hqpbt,False
h4ik37j,True
h4j22di,False
h4kt135,False
h4l4o9w,True
h4lfglc,True
h4lph7x,True
h4mrkol,False
h4o0fkv,False
h4p0u4i,False
h4p4l7e,False
h4q5cnl,False
h4qho7y,False
h4qplvd,False
h4rktry,False
h4wpi5w,True
h4wpnia,False
h4wq76e,True
h4xikkb,False
h4zlmeu,False
h4zzzsx,True
h503o0w,True
